[2012/05/11 11:01:07] [INFO] [migo-2] GET:/ done in 3 millis
[2012/05/11 11:02:06] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 11:02:08] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:02:20] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:02:31] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 11:02:31] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 11:02:39] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:03:00] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:05:03] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 11:05:21] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:12:38] [INFO] [migo-2] GET:/ done in 54 millis
[2012/05/11 11:12:40] [INFO] [migo-2] GET:/ done in 4 millis
[2012/05/11 11:13:28] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 11:15:09] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:16:44] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:16:47] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:17:09] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:17:28] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 11:17:48] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 11:17:49] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:17:50] [INFO] [migo-2] GET:/ done in 3 millis
[2012/05/11 11:17:50] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 11:17:50] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:19:55] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:20:06] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:20:27] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 11:23:37] [INFO] [migo-2] GET:/ done in 51 millis
[2012/05/11 11:23:40] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:23:42] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:24:36] [INFO] [migo-2] GET:/ done in 17 millis
[2012/05/11 11:24:52] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 11:25:42] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:25:50] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 11:25:52] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:26:14] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:26:15] [INFO] [migo-2] GET:/ done in 3 millis
[2012/05/11 11:26:36] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 11:26:37] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:26:39] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 11:26:46] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:26:50] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 11:27:01] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:27:02] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:27:09] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:27:38] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:28:30] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:28:48] [INFO] [migo-2] GET:/ done in 44 millis
[2012/05/11 11:28:54] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 11:30:18] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:30:53] [INFO] [migo-2] GET:/ done in 2 millis
